user,activity,timestamp,x-axis,y-axis,z-axis
1,Walking,4991920000000.00,0.69,10.8,-2.03
1,Walking,4991970000000.00,6.85,7.44,-0.5
1,Walking,4992020000000.00,0.93,5.63,-0.5
1,Walking,4992070000000.00,-2.11,5.01,-0.69
1,Walking,4992120000000.00,-4.59,4.29,-1.95
1,Walking,4992170000000.00,12.41,11.18,7.82
1,Walking,4992220000000.00,17.27,11.6,5.94
1,Walking,4992270000000.00,1.42,8.43,-5.28
1,Walking,4992320000000.00,-2.68,15.89,-0.38
1,Walking,4992370000000.00,-1.38,9.92,-1.99
1,Walking,4992420000000.00,1.57,10.46,-0.91
1,Walking,4992470000000.00,4.02,9.81,-1.61
1,Walking,4992520000000.00,4.94,7.59,-1.65
1,Walking,4992570000000.00,4.75,7.21,-1.18
1,Walking,4992620000000.00,3.34,7.31,-0.42
1,Walking,4992670000000.00,2.6,9.19,-1.08
1,Walking,4992720000000.00,7.31,12.07,1.23
1,Walking,4992770000000.00,8.43,10.76,1.14
1,Walking,4992820000000.00,10.53,12.03,3.68
1,Walking,4992870000000.00,6.66,11.92,1.14
1,Walking,4992920000000.00,2.49,17.86,-2.83
1,Walking,4992970000000.00,-1.12,16.4,-5.6
1,Walking,4993020000000.00,0,8.2,-0.76
1,Walking,4993070000000.00,7.16,3.57,-0.72
1,Walking,4993120000000.00,-0.8,4.29,-1.27
1,Walking,4993170000000.00,-5.13,4.14,-1.95
1,Walking,4993220000000.00,-3.17,7.74,4.71
1,Walking,4993270000000.00,19.57,16.44,4.21
1,Walking,4993320000000.00,7.08,5.09,-0.76
1,Walking,4993370000000.00,0.15,16.13,-2.83
1,Walking,4993420000000.00,-1.99,8.89,-3.98
1,Walking,4993470000000.00,0.65,11.8,-1.12
1,Walking,4993520000000.00,3.49,10.57,-1.33
1,Walking,4993590000000.00,4.18,8.05,-1.33
1,Walking,4993640000000.00,2.98,5.9,-2.22
1,Walking,4993690000000.00,2.07,8.12,-2.3
1,Walking,4993740000000.00,4.29,10.04,3.06
1,Walking,4993790000000.00,6.74,10.88,-0.57
1,Walking,4993840000000.00,10.92,11.11,2.91
1,Walking,4993890000000.00,9.51,12.22,2.76
1,Walking,4993940000000.00,4.52,14.25,-1.5
1,Walking,4993990000000.00,2.91,15.64,-4.21
1,Walking,4994040000000.00,2.49,15.09,-5.33
1,Walking,4994090000000.00,2.34,8.69,0.27
1,Walking,4994140000000.00,0.99,3.95,-1.5
1,Walking,4994190000000.00,-2.18,2.49,-1.33
1,Walking,4994240000000.00,-6.66,4.52,-3.26
1,Walking,4994290000000.00,10.61,10.57,10.88
1,Walking,4994340000000.00,17.43,14.56,6.51
1,Walking,4994390000000.00,1.08,12.41,-3.26
1,Walking,4994440000000.00,-3.17,11.14,-3.79
1,Walking,4994490000000.00,-2.03,11.35,-2.68
1,Walking,4994540000000.00,2.64,10.57,-1.5
1,Walking,4994590000000.00,5.6,9.08,-1.84
1,Walking,4994640000000.00,7.25,5.9,-0.38
1,Walking,4994690000000.00,4.44,6.4,1.38
1,Walking,4994740000000.00,3.15,8.16,-0.72
1,Walking,4994790000000.00,2.83,8.89,-1.23
1,Walking,4994840000000.00,5.98,11.41,-0.84
1,Walking,4994890000000.00,11.6,12.6,6.66
1,Walking,4994940000000.00,12.07,11.35,3.41
1,Walking,4994990000000.00,5.79,14.98,-0.65
1,Walking,4995040000000.00,1.95,19.23,-5.01
1,Walking,4995090000000.00,-1.12,13.21,-6.82
1,Walking,4995140000000.00,3.95,4.56,2.41
1,Walking,4995190000000.00,2.15,3.06,-0.99
1,Walking,4995240000000.00,-2.22,2.96,-1.92
1,Walking,4995290000000.00,-7.35,5.24,-2.96
1,Walking,4995340000000.00,12.91,13.99,9.77
1,Walking,4995390000000.00,15.75,10.61,6.24
1,Walking,4995440000000.00,-2.11,12.41,-2.45
1,Walking,4995490000000.00,-3.34,12.72,-7.04
1,Walking,4995540000000.00,-1.88,10.19,-1.14
1,Walking,4995590000000.00,3.38,11.8,-2.79
1,Walking,4995640000000.00,6.02,7.74,-0.46
1,Walking,4995690000000.00,4.79,6.44,-0.3
1,Walking,4995740000000.00,2.45,7.08,-2.53
1,Walking,4995790000000.00,1.14,9.11,-1.8
1,Walking,4995840000000.00,5.41,10.53,2.49
1,Walking,4995890000000.00,7.89,11.88,0.11
1,Walking,4995940000000.00,12.11,10.73,2.03
1,Walking,4995990000000.00,10.8,11.18,2.18
1,Walking,4996040000000.00,4.02,16.51,-2.53
1,Walking,4996090000000.00,1.18,18.62,-5.71
1,Walking,4996140000000.00,0,10.69,-1.38
1,Walking,4996190000000.00,1.54,6.59,-1.53
1,Walking,4996240000000.00,-0.19,2.37,-1.76
1,Walking,4996290000000.00,-4.63,3.17,-1.57
1,Walking,4996340000000.00,-4.75,6.82,3.26
1,Walking,4996390000000.00,19.57,17.05,1.33
1,Walking,4996440000000.00,7.06,5.63,-0.53
1,Walking,4996490000000.00,-0.72,16.66,-1.42
1,Walking,4996540000000.00,-2.68,9.43,-4.44
1,Walking,4996590000000.00,0.93,12.18,-1.53
1,Walking,4996640000000.00,3.91,9.53,-2.14
1,Walking,4996690000000.00,5.05,7.06,-0.46
1,Walking,4996740000000.00,5.48,6.21,0.08
